country,priority1,priority1Response,priority2,priority2Response,priority3,priority3Response,priority4,priority4Response,priority5,priority5Response,priority6,priority6Response
 Afghanistan,101,296,104,356,105,367,107,197,111,265,115,655
 Albania,101,1073,104,1118,105,912,109,636,111,839,115,1916
 Algeria,101,1137,104,1296,105,1358,106,744,111,1068,115,2191
 Andorra,100,73,104,68,105,62,107,45,109,50,115,115
 Angola,100,103,104,99,105,115,111,64,113,71,115,174
 Antigua and Barbuda,100,58,104,38,105,42,107,28,109,38,115,71
 Argentina,100,3801,105,3309,105,3712,109,2666,111,2616,115,4214
 Armenia,100,87,105,85,105,88,109,62,111,60,115,180
 Australia,100,15433,105,16800,105,12939,109,12024,113,9787,115,12472
 Austria,100,602,105,378,105,414,109,268,113,351,114,454
 Azerbaijan,100,170,104,147,105,164,107,88,112,104,115,283
 Bahamas,101,40,105,48,106,42,109,36,111,35,115,74
 Bahrain,100,1177,104,1598,105,1445,112,979,114,1189,115,2991
 Bangladesh,100,5990,105,5154,105,5581,106,3169,111,3871,115,11873
 Barbados,100,82,104,66,106,62,109,67,111,55,115,112
 Belarus,104,2337,104,3339,106,3086,106,1714,111,2550,115,2952
 Belgium,100,1173,103,668,105,736,109,484,113,498,114,765
 Belize,100,49,104,46,105,42,111,35,111,40,115,86
 Benin,100,294,104,243,105,271,109,147,111,198,115,462
 Bhutan,102,629,104,839,105,868,106,467,114,590,115,1656
 Bolivia (Plurinational State of),100,424,104,272,105,314,109,217,111,274,115,500
 Bosnia and Herzegovina,102,996,104,1372,105,1166,111,868,111,846,115,2960
 Botswana,103,122,104,148,105,144,106,80,111,107,115,244
 Brazil,101,14419,104,21416,105,20126,106,14918,111,12713,115,12377
 Brunei Darussalam,103,43,104,51,105,55,109,33,111,34,115,77
 Bulgaria,100,230,104,247,105,219,106,144,111,175,115,392
 Burkina Faso,100,285,104,355,105,370,106,217,109,211,115,533
 Burundi,103,48,105,61,106,49,109,42,111,39,115,90
 Cambodia,100,167,105,212,105,214,106,117,112,164,115,357
 Cameroon,101,20173,102,13878,103,10039,109,8301,114,7946,115,16013
 Canada,100,4625,103,3013,105,2978,109,2771,113,2549,114,4029
 Cape Verde,102,228,104,296,105,261,111,174,111,242,115,521
 Central African Republic,100,17,103,17,105,15,105,10,111,14,115,19
 Chad,103,17,104,22,105,27,106,12,109,18,115,32
 Chile,100,859,105,707,105,718,109,481,110,496,115,771
 China,100,131467,102,64682,106,50548,110,48173,112,60116,115,121278
 Colombia,100,3432,104,3800,105,4364,109,2548,111,2619,115,6196
 Comoros,100,18,104,13,105,16,105,10,109,10,115,16
 Congo,100,108,105,141,105,129,105,99,114,107,115,306
 Costa Rica,100,556,105,379,105,421,109,322,111,377,115,641
 Cote d'Ivoire,101,3792,104,4497,105,4262,109,2760,111,3135,115,9311
 Croatia,100,115,105,113,105,112,109,79,114,95,115,278
 Cuba,100,41,105,34,106,26,109,30,112,28,115,51
 Cyprus,100,78,105,87,106,78,109,58,113,62,115,148
 Czech Republic,100,4067,101,2572,105,1842,105,1325,111,1786,115,4429
 Democratic People's Republic of Korea,102,151,104,149,106,175,111,126,111,183,115,228
 Democratic Republic of the Congo,101,5570,105,6823,105,6227,111,4724,112,4687,115,13458
 Denmark,100,1845,103,1161,105,1010,109,693,113,782,114,1137
 Djibouti,102,18,104,21,105,28,109,16,112,14,115,31
 Dominica,100,13,104,14,105,15,109,8,110,10,115,20
 Dominican Republic,102,73088,104,89899,105,92268,109,62109,113,50992,115,168307
 Ecuador,100,1735,105,1678,105,1710,109,1175,111,1334,115,3283
 Egypt,101,5392,104,4758,105,5352,106,2915,111,3629,115,8981
 El Salvador,100,279,105,264,105,230,111,168,111,235,115,449
 Equatorial Guinea,103,8,104,8,105,11,106,6,109,7,115,11
 Eritrea,105,6,106,8,109,8,111,7,113,10,114,11
 Estonia,100,105,104,123,105,138,109,89,111,77,115,183
 Ethiopia,100,5836,104,4727,105,4700,107,2614,112,3957,115,9649
 Fiji,100,484,104,503,105,545,109,293,111,322,115,1181
 Finland,100,450,103,328,105,324,109,240,113,256,114,428
